Index,Title,Published_date,tag_count,Views,Likes,Comments,Month,title_length
0,"Cam Johnson Drops 22 Points IN THE 1ST HALF Of Game 2! 🔥 | April 17, 2023",4/18/2023,8,1292,119,0,Apr,73
1,Jaren Jackson Jr. Wins The 2022-2023 NBA #KiaDPOY Award!,4/18/2023,31,8078,334,0,Apr,56
2,Jaren Jackson Jr. Interview After Winning The 2022-2023 NBA #KiaDPOY Award!,4/17/2023,3,4373,185,0,Apr,75
3,HALF of the Game 1 Winners in Round 1 were lower seeds 👀 | #shorts,4/17/2023,0,6132,539,0,Apr,66
4,Nets @ 76ers Game 2 | #NBAPlayoffs presented by Google Pixel Live Scoreboard,4/17/2023,31,18975,276,0,Apr,76
5,Darvin Ham’s Postgame Speech After Lakers Game 1 W! | #Shorts,4/17/2023,0,23030,2538,59,Apr,61
6,East & West #ATTPlayIn: Win To Get In! | #CHASINGHISTORY,4/17/2023,31,12069,302,0,Apr,56
7,“It’s a series… we ain’t do nothing yet.” - Clippers Walk Off With The Game 1 W! 🗣 | #shorts,4/17/2023,0,21628,1582,46,Apr,92
8,1 Hour of the NBA’s Most Clutch Moments of the 2022-23 Season,4/17/2023,31,15379,364,46,Apr,61
9,NBA’s BEST Moments of #ATTPlayIn & #NBAPlayoffs Opening Week | 2022-23 Season,4/17/2023,3,32338,288,38,Apr,77
10,"NBA Top 10 Plays Of The Night | April 16, 2023",4/17/2023,31,282606,5273,402,Apr,46
11,The Best Clutch Defensive Plays From The NBA Playoffs Over The Years!,4/17/2023,3,30897,711,38,Apr,69
12,Timberwolves @ Nuggets Game 1 | #NBAPlayoffs presented by Google Pixel Live Scoreboard,4/17/2023,31,226696,1438,5,Apr,86
13,"#8 TIMBERWOLVES at #1 NUGGETS | FULL GAME 1 HIGHLIGHTS | April 16, 2023",4/17/2023,4,763676,7228,924,Apr,71
14,"Russell Westbrook Gets CLUTCH Stops To Seal The Clippers Game 1 W! | April 16, 2023",4/17/2023,8,105598,1641,291,Apr,83
15,Russell Westbrook’s INSANE HUSTLE PLAY SEALS THE CLIPPERS W! 😱😤| #Shorts,4/17/2023,0,100281,5629,214,Apr,72
16,"Final 8:23 WILD ENDING #5 Clippers vs #4 Suns! | April 16, 2023",4/17/2023,4,166126,2219,376,Apr,63
17,"Kawhi Leonard GOES OFF For 38 Points In Clippers Game 1 Win! | April 16, 2023",4/17/2023,8,84386,2302,533,Apr,77
18,"#5 CLIPPERS  at #4 SUNS | FULL GAME 1 HIGHLIGHTS | April 16, 2023",4/17/2023,4,1613989,17102,2759,Apr,65
19,KEVIN DURANT CATCHES FIRE IN PHOENIX!🔥😲| #Shorts,4/17/2023,0,85222,2934,85,Apr,48
20,"#8 HEAT at #1 BUCKS | FULL GAME 1 HIGHLIGHTS | April 16, 2023",4/17/2023,4,1147137,10557,1413,Apr,61
21,"Jimmy Butler Gets BUCKETS In Heat Game 1 W! | April 16, 2023",4/17/2023,8,53393,1400,251,Apr,60
22,“I’M HIM!” - Austin Reaves Mic’d After His CLUTCH Game 1 Buckets! 😤 | #shorts,4/16/2023,0,149635,7008,370,Apr,77
23,"Anthony Davis Scores 22 Points In Lakers Game 1 W! | April 16, 2023",4/16/2023,8,47830,920,115,Apr,67
24,"Austin Reaves Drops 23 CLUTCH Points In PLAYOFF DEBUT! | April 16, 2023",4/16/2023,8,65572,1382,242,Apr,71
25,"Lakers Go On 13-0 4th Quarter Run To Seal Game 1 W! #PLAYOFFMODE | April 16, 2023",4/16/2023,6,238878,3278,454,Apr,81
26,Lakers @ Grizzlies Game 1 | #NBAPlayoffs presented by Google Pixel Live Scoreboard,4/16/2023,31,166565,1355,27,Apr,82
27,"Rui Hachimura GOES OFF For 29 Points In Lakers Game 1 Win! | April 16, 2023",4/16/2023,8,214154,3788,403,Apr,75
28,"#7 LAKERS at #2 GRIZZLIES | FULL GAME 1 HIGHLIGHTS | April 16, 2023",4/16/2023,4,3096278,37659,5496,Apr,67
29,LeBron James Gives Detailed Scouting Report Ahead Of Lakers Round 1 Matchup Against The Grizzlies!,4/16/2023,31,109903,2063,466,Apr,98
30,"Lakers Lock In, Wolves Bounce Back | #CHASINGHISTORY Ep. 2 | #shorts",4/16/2023,0,28514,1505,67,Apr,68
31,The NBA’s Most Viral Moments of the 2022-23 Season 👀,4/16/2023,3,66389,694,27,Apr,52
32,The Top 100 Plays of the 2022-23 NBA Season 🔥,4/16/2023,31,127973,1556,116,Apr,45
33,"NBA Top 10 Plays Of The Night | April 15, 2023",4/16/2023,31,288587,4824,200,Apr,46
34,"Final 9:25 WILD ENDING #6 Warriors vs #3 Kings! #PLAYOFFMODE | April 15, 2023",4/16/2023,31,142671,2082,245,Apr,77
35,The Kings Light The Beam After Their 1st Playoff Win In 17 Years! 💜 | #shorts,4/16/2023,0,96527,4535,196,Apr,77
36,Warriors vs Kings| #NBAPlayoffs presented by Google Pixel Live Scoreboard,4/16/2023,31,206362,1467,34,Apr,73
37,De’Aaron Fox Lights The Beam After Kings' 1st Playoff Win In 17 Years #PLAYOFFMODE,4/16/2023,7,31219,810,113,Apr,82
38,"De'Aaron Fox (38 PTS) & Malik Monk (32 PTS) Historic Playoff Debut! 🔥 | April 15, 2023",4/16/2023,6,55700,1046,149,Apr,86
39,"#6 WARRIORS at #3 KINGS | FULL GAME 1 HIGHLIGHTS | April 15, 2023",4/16/2023,4,2459455,27834,4888,Apr,65
40,"INSANE 4th Quarter Sequence Warriors vs Kings UNCUT! | April 15, 2023",4/16/2023,7,135395,1389,428,Apr,69
41,“Are you just saying that because he’s wearing your face on his shirt?” 😂 | #shorts,4/16/2023,0,39032,1839,56,Apr,83
42,"Jalen Brunson Scores 27 Points In Knicks Game 1 Win! | April 15, 2023",4/16/2023,4,27821,661,157,Apr,69
43,"Donovan Mitchell GOES OFF For 38 Points In Game 1 vs Knicks! | April 15, 2023",4/16/2023,8,19840,742,121,Apr,77
44,"#5 KNICKS at #4 CAVALIERS | FULL GAME 1 HIGHLIGHTS | April 15, 2023",4/16/2023,4,1210739,11052,1531,Apr,67
45,"Final 2:10 WILD ENDING #5 Knicks vs #4 Cavaliers! #PLAYOFFMODE | April 15, 2023",4/16/2023,6,161641,2220,350,Apr,79
46,Steph Curry Makes Logo Threes Look EASY! 😱 | #shorts,4/16/2023,0,70544,4491,177,Apr,52
47,12 STRAIGHT POINTS From Donovan Mitchell In Game 1! 🕷 #PlayoffMode | #shorts,4/15/2023,0,52597,2260,65,Apr,76
48,Hawks vs Celtics | #NBAPlayoffs presented by Google Pixel Live Scoreboard,4/15/2023,31,105103,1010,5,Apr,73
49,"Jaylen Brown, Jayson Tatum & Derrick White Combine For 78 PTS In Celtics Game 1 W! | April 15, 2033",4/15/2023,6,41770,887,145,Apr,99
50,"#7 HAWKS at #2 CELTICS | FULL GAME 1 HIGHLIGHTS | April 15, 2023",4/15/2023,4,1116431,9471,1047,Apr,64
51,Joel Embiid & his son share a FUNNY moment after his Game 1 W! No more questions 😂!| #Shorts,4/15/2023,0,59970,3103,123,Apr,92
52,Joel Embiid (26 PTS) & James Harden (23 PTS) Combine for 49 Points In 76ERS Game 1 W!,4/15/2023,6,32809,721,88,Apr,85
53,"#6 NETS at #3 76ERS | FULL GAME 1 HIGHLIGHTS | April 15, 2023",4/15/2023,4,1417055,11798,988,Apr,61
54,A Cinematic look inside how the Heat secured the 8th seed in the Eastern Conference bracket! #Shorts,4/15/2023,0,19184,872,13,Apr,100
55,James Harden knocks down his 5th three after THE SICK MOVE! 👀🔥 | #Shorts,4/15/2023,0,58685,2112,12,Apr,72
56,2 Hours of the BEST Games Of The 2022-23 NBA Season! 🍿,4/15/2023,31,45127,399,32,Apr,54
57,1 Hour Of The BEST Playoff Dunks! 👀,4/15/2023,31,70545,1082,65,Apr,35
58,"NBA Top 10 Plays Of The Night | April 14, 2023",4/15/2023,31,260322,4249,213,Apr,46
59,The Best Of The 2023 #ATTPlayIn Tournament!,4/15/2023,3,33608,497,36,Apr,43
60,Thunder vs Timberwolves|#ATTPlayIn Live ESPN Scoreboard,4/15/2023,31,123142,1085,13,Apr,55
61,"THUNDER at TIMBERWOLVES | #ATTPlayIn | FULL GAME HIGHLIGHTS | April 14, 2023",4/15/2023,4,706120,6019,897,Apr,76
62,"Karl-Anthony Towns GOES OFF For 28 Points In #ATTPlayIn W! | April 14, 2023",4/15/2023,8,19399,374,43,Apr,75
63,Jimmy Butler (31 PTS) & Max Strus (31 PTS) Combine for 62 Points In Heats #ATTPlayIn W!,4/15/2023,6,38005,670,85,Apr,87
64,"Final 3:00 Bulls vs Heat #ATTPlayIn UNCUT 🔥 | April 14, 2023",4/15/2023,6,139282,1753,191,Apr,60
65,"BULLS at HEAT | #ATTPlayIn | FULL GAME HIGHLIGHTS | April 14, 2023",4/15/2023,4,1086624,9711,1419,Apr,66
66,The Best Of The 2022-2023 NBA #KiaMVP Award Finalists!,4/15/2023,3,65469,1074,333,Apr,54
67,Every #TissotBuzzerBeater from the 2022-23 NBA Season! 🔥,4/14/2023,31,53127,1034,77,Apr,56
68,1 Hour Of Kyrie Irving's BEST Moments of the 2022-23 Season!,4/14/2023,31,87815,1211,101,Apr,60
69,Joel Embiid talks giving back on a new #NBARewind with Ahmad Rashad! 👏 | #shorts,4/14/2023,0,39748,1969,47,Apr,80
70,The Top 100 Dunks of the 2022-23 NBA Season 🔥,4/13/2023,31,248849,3681,329,Apr,45
71,Last night in Toronto was a movie…and it was shot by @BryanFrancisco #PlayoffMode,4/13/2023,0,38863,1785,29,Apr,81
72,Final 4:13 Clippers vs Timberwolves 2022 NBA Play-In Tournament Game UNCUT,4/13/2023,31,128471,747,137,Apr,74
73,Behind The Scenes Of #PLAYOFFMODE 🎥,4/13/2023,31,13645,546,26,Apr,35
74,1 Hour Of Luka Doncic's BEST Moments of the 2022-23 Season!,4/13/2023,31,33070,852,127,Apr,59
75,Joel Embiid’s Love for the game came from watching Kobe Bryant in the NBA FINALS! 🔥🙌| #Shorts,4/13/2023,0,33682,1865,28,Apr,93
76,"""I Would Not Draft Myself Either"" - NBA's Best Press Conference Moments of the 2022-23 Season",4/13/2023,31,27443,463,37,Apr,93
77,Trae Young's Games Is Just Different | Pass The Rock Ep. 4 | FULL EPISODE,4/13/2023,31,29578,1256,111,Apr,73
78,"NBA Top 10 Plays Of The Night | April 12, 2023",4/13/2023,31,268433,4271,131,Apr,46
79,DeMar DeRozan & His Daughter share a moment after the BIG #ATTPlayIn Win! 😱📢| #Shorts,4/13/2023,0,98039,3950,138,Apr,85
80,Thunder vs Pelicans |#ATTPlayIn Live ESPN Scoreboard,4/13/2023,31,134607,1155,9,Apr,52
81,"Josh Giddey Drops Near TRIPLE-DOUBLE In Thunder #ATTPlayIn W! | April 12, 2023",4/13/2023,8,36481,595,115,Apr,78
82,"THUNDER at PELICANS | #ATTPlayIn | FULL GAME HIGHLIGHTS | April 12, 2023",4/13/2023,4,920743,8102,970,Apr,72
83,"Shai Gilgeous-Alexander GOES OFF For 32 Points In Thunder #ATTPlayIn W! | April 12, 2023",4/13/2023,8,22220,599,94,Apr,88
84,"Final 2:47 INSANE ENDING Thunder vs Pelicans #ATTPlayIn | April 12, 2023",4/13/2023,6,210629,2203,305,Apr,72
85,“Let’s go get some hot weather clothes” - Zach LaVine After Bulls #ATTPlayIn W! 👀🔥| #Shorts,4/13/2023,0,75418,3632,40,Apr,91
86,"DeMar DeRozan Drops CLUTCH 23 Points In Return To Toronto #ATTPlayIn | April 12, 2023",4/13/2023,8,19324,446,42,Apr,85
87,Bulls EPIC 19-PT COMEBACK vs Raptors In The #ATTPlayIn,4/13/2023,6,43944,770,117,Apr,54
88,"BULLS at RAPTORS | #ATTPlayIn | FULL GAME HIGHLIGHTS | April 12, 2023",4/13/2023,4,992354,9409,1388,Apr,69
89,"Zach LaVine GOES OFF For 39 Points In Bulls #ATTPlayIn W! | April 12, 2023",4/13/2023,8,35322,866,100,Apr,74
90,"Final 2:53 MUST SEE ENDING Bulls vs Raptors #ATTPlayIn | April 12, 2023",4/13/2023,6,228404,2156,330,Apr,71
91,Fred VanVleet hits UNREAL shot from half to beat the buzzer #ATTPlayIn! 😦| #Shorts,4/13/2023,0,55284,2406,66,Apr,82
92,DeMar makes his presence felt EARLY in the #ATTPlayIn!😤| #Shorts,4/12/2023,0,42682,1721,22,Apr,64
93,Top 50 #KumhoHandles of the 2022-23 Season!,4/12/2023,31,80139,1183,62,Apr,43
94,SGA's Most Impressive Buckets From His HISTORIC 2022-23 Season 🔥,4/12/2023,31,24205,575,61,Apr,64
95,#ChasingHistory Coming Soon To The NBA App 🏆,4/12/2023,31,11939,632,47,Apr,44
96,Final Minutes of Grizzlies vs Warriors 2021 NBA Play-In Tournament Game UNCUT,4/12/2023,31,927098,3663,333,Apr,77
97,Joel Embiid explains why he’s hard to guard on a new #NBARewind with Ahmad Rashad! 😤| #Shorts,4/12/2023,0,43057,2004,98,Apr,93
98,"NBA Top 10 Plays Of The Night | April 11, 2023",4/12/2023,31,269896,4279,157,Apr,46
99,“We here now” - Lakers After Their #ATTPlayIn Overtime W ‼️ | #shorts,4/12/2023,0,235515,12186,313,Apr,69
100,Timberwolves vs Lakers |#ATTPlayIn Live TNT Scoreboard,4/12/2023,31,270216,1261,29,Apr,54
101,"LeBron (30 PTS), AD (24 PTS) & Dennis Schroder (21 PTS) Combine For 75 PTS In Lakers #ATTPlayIn W!",4/12/2023,6,75416,1458,187,Apr,98
102,“AD Had A Brain Fart” - LeBron Messes With Anthony Davis After Lakers #ATTPlayIn OT Win 😂,4/12/2023,7,129494,2115,254,Apr,89
103,"TIMBERWOLVES at LAKERS | #ATTPlayIn | FULL GAME HIGHLIGHTS | April 11, 2023",4/12/2023,4,2835200,27548,3313,Apr,75
104,"WILD OVERTIME ENDING Timberwolves vs Lakers #ATTPlayIn | April 11, 2023",4/12/2023,6,480311,4944,496,Apr,71
105,Dennis Schroder Hits The CLUTCH 3️⃣ In The #ATTPlayIn! 🎯 | #shorts,4/12/2023,0,174501,7077,182,Apr,66
106,"INSANE END OF REGULATION Timberwolves vs Lakers UNCUT #ATTPlayIn | April 11, 2023",4/12/2023,6,206018,1968,436,Apr,81
107,RIDICULOUS Anthony Edwards Block In The #ATTPlayIn! 😲 | #shorts,4/12/2023,0,67549,2255,76,Apr,63
108,"HAWKS at HEAT | #ATTPlayIn | FULL GAME HIGHLIGHTS | April 11, 2023",4/12/2023,4,1036460,8852,1278,Apr,66
109,Anthony Davis Kia NBA Western Conference Player of the Month | March & April Highlights,4/11/2023,31,46817,802,77,Apr,87
110,Jalen Williams Kia NBA Western Conference Rookie of the Month | March & April Highlights,4/11/2023,31,12060,208,30,Apr,88
111,Joel Embiid's Kia NBA Eastern Conference Player of the Month | March & April Highlights,4/11/2023,31,22909,453,101,Apr,87
112,Paolo Banchero Kia NBA Eastern Conference Rookie of the Month | March & April Highlights,4/11/2023,31,15556,284,42,Apr,88
113,Lakers Best Moments Since February 🔥👀,4/11/2023,31,212198,3774,198,Apr,37
114,Final 4:49 Warriors vs Lakers 2021 NBA Play-In Tournament Game UNCUT,4/11/2023,6,337963,3148,273,Apr,68
115,Top 50 Blocks of the 2022-23 NBA Regular Season,4/11/2023,31,87120,1249,164,Apr,47
116,#PLAYOFFMODE | #NBA 2022-23,4/11/2023,31,97534,4998,258,Apr,27
117,Jamal Murray's Ultimate Test | Pass The Rock Ep. 3 | FULL EPISODE,4/11/2023,31,22423,933,38,Apr,65
118,Win to get in 👀 l #shorts,4/11/2023,0,49583,2841,68,Apr,25
119,1 Hour of the Golden State Warriors 73-Win Season 🔥,4/11/2023,31,276091,4978,461,Apr,51
120,Damian Lillard’s Top Plays of the 2022-23 NBA Season!,4/10/2023,31,25556,620,48,Apr,53
